Fe,C,Si,Mn,Cr,Ni,Mo,N,steel_type,PREN,CPT_C,corrosion_rate_mm_year,corrosion_resistance,environment
72.42,0.144,0.69,1.13,16.58,7.96,0.88,0.196,stainless,22.6,21.9,0.0018,good,acidic
93.96,0.254,0.96,0.94,2.12,1.7,0.07,0.0,low_alloy,2.4,-20.0,0.1149,low,industrial
97.87,0.138,0.79,0.91,0.09,0.21,0.0,0.0,carbon,0.1,-20.0,0.1701,low,atmospheric
97.28,0.163,0.39,1.85,0.09,0.23,0.0,0.0,carbon,0.1,-20.0,0.1104,low,acidic
67.54,0.038,0.86,0.98,20.46,6.93,2.94,0.245,duplex,34.1,46.6,0.0033,very_good,atmospheric
98.15,0.485,0.21,0.93,0.22,0.01,0.0,0.0,carbon,0.2,-20.0,0.1028,low,atmospheric
97.48,0.125,0.93,1.11,0.02,0.33,0.0,0.0,carbon,0.0,-20.0,0.2649,low,atmospheric
97.36,0.357,0.58,1.48,0.22,0.0,0.0,0.0,carbon,0.2,-20.0,0.1028,low,seawater
72.56,0.105,0.53,1.02,13.26,9.45,2.89,0.177,stainless,25.6,35.7,0.0328,good,atmospheric
94.14,0.205,0.54,1.54,1.15,1.79,0.65,0.0,low_alloy,3.3,-20.0,0.3746,low,acidic
93.64,0.251,0.39,0.91,4.06,0.08,0.68,0.0,low_alloy,6.3,-14.3,0.6256,low,industrial
65.2,0.026,0.85,1.15,23.9,5.4,3.29,0.184,duplex,37.7,64.6,0.0095,very_good,acidic
65.36,0.041,0.95,0.7,24.58,5.59,2.55,0.223,duplex,36.6,62.4,0.0085,very_good,industrial
67.55,0.099,0.94,1.76,18.64,10.12,0.75,0.139,stainless,23.3,35.4,0.0032,good,seawater
97.29,0.307,0.38,1.64,0.29,0.1,0.0,0.0,carbon,0.3,-20.0,0.6404,low,seawater
65.35,0.132,0.76,1.89,17.33,13.66,0.82,0.054,stainless,20.9,24.7,0.0184,good,atmospheric
65.66,0.07,0.24,1.49,17.74,12.41,2.26,0.135,stainless,27.4,41.2,0.0103,good,acidic
68.4,0.05,0.48,1.84,20.66,5.11,3.31,0.163,duplex,34.2,55.4,0.0097,very_good,seawater
94.87,0.193,0.89,1.37,0.84,1.67,0.17,0.0,low_alloy,1.4,-20.0,0.2916,low,acidic
91.93,0.254,0.86,0.98,4.59,1.05,0.34,0.0,low_alloy,5.7,-17.4,0.1162,low,acidic
97.59,0.48,0.64,0.71,0.47,0.11,0.0,0.0,carbon,0.5,-20.0,0.1102,low,atmospheric
65.95,0.03,0.93,1.23,20.76,7.34,3.52,0.237,duplex,36.2,63.2,0.0024,very_good,seawater
69.61,0.03,0.34,1.05,20.61,6.14,2.03,0.189,duplex,30.3,40.1,0.0052,very_good,atmospheric
93.67,0.316,0.22,0.62,2.81,1.74,0.62,0.0,low_alloy,4.9,-11.1,0.3095,low,seawater
74.01,0.027,0.31,1.44,14.38,7.04,2.75,0.041,stainless,24.1,43.3,0.0067,good,atmospheric
72.81,0.121,0.44,0.79,13.76,9.17,2.87,0.038,stainless,23.8,33.4,0.0012,good,atmospheric
95.09,0.114,0.8,1.69,1.2,1.09,0.02,0.0,low_alloy,1.3,-20.0,0.3273,low,atmospheric
65.09,0.045,0.8,0.96,18.7,13.56,0.71,0.137,stainless,23.2,27.9,0.0074,good,industrial
68.24,0.025,0.63,0.89,20.43,6.24,3.25,0.283,duplex,35.7,67.8,0.0011,very_good,acidic
71.87,0.062,0.84,1.17,12.24,12.21,1.54,0.067,stainless,18.4,15.2,0.001,moderate,seawater
97.43,0.202,0.33,1.21,0.42,0.41,0.0,0.0,carbon,0.4,-20.0,0.3626,low,seawater
68.91,0.035,0.76,1.77,16.06,10.3,2.03,0.152,stainless,25.2,31.1,0.0035,good,seawater
90.29,0.208,0.82,1.58,4.83,1.32,0.96,0.0,low_alloy,8.0,-20.0,0.2495,low,atmospheric
90.94,0.371,0.26,1.52,4.07,2.4,0.43,0.0,low_alloy,5.5,-18.4,0.1938,low,seawater
72.26,0.121,0.61,0.84,13.16,10.81,2.08,0.114,stainless,21.8,28.4,0.0012,good,acidic
96.87,0.311,0.73,1.12,0.47,0.5,0.0,0.0,carbon,0.5,-20.0,0.2289,low,acidic
63.49,0.023,0.64,1.86,24.05,7.22,2.52,0.184,duplex,35.3,56.3,0.0261,very_good,atmospheric
93.08,0.297,0.88,0.75,3.38,1.15,0.47,0.0,low_alloy,4.9,-20.0,0.1527,low,acidic
63.1,0.032,0.44,0.74,24.02,7.68,3.83,0.146,duplex,39.0,66.7,0.007,very_good,atmospheric
97.13,0.305,0.7,1.58,0.06,0.22,0.0,0.0,carbon,0.1,-20.0,0.3073,low,seawater
98.17,0.222,0.24,0.56,0.37,0.44,0.0,0.0,carbon,0.4,-20.0,0.1338,low,atmospheric
97.29,0.49,0.86,0.82,0.32,0.22,0.0,0.0,carbon,0.3,-18.8,0.207,low,acidic
92.41,0.251,0.93,0.83,4.64,0.88,0.06,0.0,low_alloy,4.8,-15.0,0.8449,low,industrial
61.62,0.033,0.84,1.76,24.09,7.88,3.64,0.134,duplex,38.2,54.1,0.0127,very_good,industrial
64.01,0.033,0.36,1.76,24.49,6.95,2.25,0.151,duplex,34.3,53.2,0.0185,very_good,industrial
68.23,0.047,0.46,1.13,20.54,6.04,3.41,0.141,duplex,34.1,64.7,0.0168,very_good,atmospheric
97.46,0.297,0.94,0.98,0.22,0.11,0.0,0.0,carbon,0.2,-20.0,0.2139,low,seawater
74.76,0.149,0.72,1.24,14.89,7.23,0.94,0.065,stainless,19.1,18.7,0.0156,moderate,acidic
90.04,0.175,0.94,1.67,4.03,2.54,0.6,0.0,low_alloy,6.0,-10.8,0.2834,low,atmospheric
64.02,0.031,0.64,1.48,26.18,4.49,2.95,0.207,duplex,39.2,69.0,0.008,very_good,industrial
63.29,0.046,0.77,1.08,24.6,7.43,2.55,0.227,duplex,36.7,70.1,0.0086,very_good,seawater
70.36,0.042,0.58,1.43,17.48,8.69,1.36,0.067,stainless,23.0,34.6,0.0192,good,seawater
65.33,0.03,0.65,0.94,23.42,6.76,2.69,0.183,duplex,35.2,55.9,0.0053,very_good,acidic
94.55,0.275,0.7,1.78,1.29,1.13,0.27,0.0,low_alloy,2.2,-20.0,0.3006,low,atmospheric
97.43,0.301,0.28,0.89,0.63,0.37,0.09,0.0,low_alloy,0.9,-20.0,0.647,low,acidic
66.06,0.049,0.62,1.68,20.3,7.41,3.61,0.28,duplex,36.7,62.1,0.0015,very_good,atmospheric
64.75,0.024,0.29,1.8,26.4,4.24,2.2,0.286,duplex,38.2,65.8,0.0597,very_good,acidic
97.59,0.224,0.79,1.01,0.19,0.19,0.0,0.0,carbon,0.2,-20.0,0.132,low,seawater
71.14,0.08,0.74,1.26,12.61,12.32,1.76,0.098,stainless,20.0,24.4,0.0105,moderate,acidic
97.29,0.346,0.47,1.54,0.27,0.09,0.0,0.0,carbon,0.3,-20.0,0.2108,low,acidic
73.63,0.119,0.47,0.76,12.04,11.43,1.47,0.075,stainless,18.1,10.0,0.0068,moderate,acidic
63.12,0.034,0.26,1.92,25.57,6.56,2.38,0.155,duplex,35.9,51.7,0.0228,very_good,atmospheric
64.69,0.095,0.42,1.6,19.68,11.98,1.48,0.048,stainless,25.3,34.1,0.0023,good,atmospheric
97.91,0.438,0.63,0.93,0.07,0.03,0.0,0.0,carbon,0.1,-20.0,0.1666,low,atmospheric
63.43,0.049,0.46,1.81,25.81,4.46,3.75,0.237,duplex,42.0,80.4,0.0073,excellent,atmospheric
70.51,0.058,0.32,0.51,15.1,10.54,2.84,0.12,stainless,26.4,37.5,0.02,good,industrial
90.69,0.194,0.34,1.09,4.1,2.84,0.75,0.0,low_alloy,6.6,-12.0,1.4143,low,seawater
96.94,0.429,0.5,1.96,0.02,0.14,0.0,0.0,carbon,0.0,-20.0,0.1007,low,industrial
96.86,0.472,0.78,1.62,0.15,0.11,0.0,0.0,carbon,0.2,-20.0,0.1453,low,acidic
70.47,0.118,0.94,0.64,14.95,12.46,0.4,0.026,stainless,16.7,11.5,0.001,moderate,seawater
97.24,0.142,0.59,1.14,0.43,0.46,0.0,0.0,carbon,0.4,-20.0,0.1708,low,atmospheric
96.57,0.279,0.79,1.58,0.31,0.47,0.0,0.0,carbon,0.3,-20.0,0.1736,low,atmospheric
96.89,0.479,0.68,1.46,0.47,0.02,0.0,0.0,carbon,0.5,-20.0,0.2324,low,industrial
93.39,0.377,0.26,1.64,2.48,1.23,0.63,0.0,low_alloy,4.5,-20.0,0.3925,low,seawater
63.95,0.049,0.55,0.54,24.06,6.78,3.85,0.233,duplex,40.5,60.8,0.0083,excellent,seawater
90.4,0.1,0.3,1.51,4.49,2.66,0.54,0.0,low_alloy,6.3,-16.2,0.1297,low,acidic
64.77,0.023,1.0,0.89,24.12,5.27,3.66,0.26,duplex,40.4,70.5,0.0019,excellent,acidic
66.33,0.038,0.41,1.81,24.14,4.17,2.89,0.206,duplex,37.0,58.9,0.0028,very_good,acidic
71.02,0.04,0.54,1.45,12.93,13.03,0.83,0.145,stainless,18.0,4.8,0.0122,moderate,seawater
97.06,0.138,0.5,1.81,0.38,0.1,0.0,0.0,carbon,0.4,-20.0,0.2578,low,industrial
68.35,0.086,0.94,1.49,18.32,10.23,0.5,0.089,stainless,21.4,27.8,0.002,good,acidic
75.44,0.069,0.45,0.93,13.11,7.62,2.34,0.032,stainless,21.4,26.9,0.0015,good,atmospheric
95.76,0.33,0.67,1.57,0.6,0.34,0.72,0.0,low_alloy,3.0,-19.2,0.2307,low,atmospheric
66.88,0.023,0.68,1.32,21.44,7.09,2.45,0.119,duplex,31.4,45.5,0.0104,very_good,seawater
96.94,0.3,0.63,1.43,0.25,0.46,0.0,0.0,carbon,0.2,-20.0,0.1049,low,seawater
97.96,0.254,0.77,0.53,0.3,0.18,0.0,0.0,carbon,0.3,-20.0,0.2041,low,acidic
97.95,0.2,0.98,0.6,0.03,0.25,0.0,0.0,carbon,0.0,-20.0,0.1576,low,seawater
96.65,0.432,0.6,1.86,0.1,0.36,0.0,0.0,carbon,0.1,-20.0,0.8221,low,industrial
96.81,0.334,0.38,1.95,0.37,0.16,0.0,0.0,carbon,0.4,-20.0,0.1369,low,acidic
96.65,0.217,0.45,1.75,0.46,0.47,0.0,0.0,carbon,0.5,-20.0,0.2166,low,acidic
72.85,0.063,0.43,1.96,16.13,8.35,0.18,0.028,stainless,17.2,11.3,0.0068,moderate,industrial
94.18,0.113,0.75,1.03,2.91,0.22,0.8,0.0,low_alloy,5.6,-20.0,0.3083,low,industrial
93.85,0.18,0.65,0.8,1.91,2.39,0.21,0.0,low_alloy,2.6,-20.0,0.3071,low,atmospheric
76.63,0.114,0.4,0.96,13.76,6.07,2.04,0.023,stainless,20.9,18.3,0.0147,good,atmospheric
92.23,0.155,0.4,1.52,3.19,2.12,0.39,0.0,low_alloy,4.5,-20.0,0.3197,low,seawater
74.44,0.118,0.51,1.62,13.53,8.07,1.63,0.096,stainless,20.4,22.1,0.0093,good,seawater
70.88,0.04,0.22,1.19,17.83,9.69,0.1,0.047,stainless,18.9,18.1,0.008,moderate,atmospheric
72.5,0.055,0.65,0.65,16.49,9.14,0.51,0.015,stainless,18.4,17.0,0.0137,moderate,acidic
69.67,0.041,0.91,0.66,15.77,11.91,0.86,0.184,stainless,21.6,23.4,0.0015,good,atmospheric
61.08,0.029,0.76,0.93,26.56,7.18,3.3,0.157,duplex,40.0,72.6,0.0014,very_good,atmospheric
91.1,0.247,0.56,1.21,3.93,2.6,0.35,0.0,low_alloy,5.1,-11.5,0.2477,low,seawater
76.39,0.105,0.53,0.78,13.7,7.32,1.12,0.069,stainless,18.5,12.0,0.0393,moderate,atmospheric
75.53,0.105,0.6,1.4,12.1,9.26,0.93,0.076,stainless,16.4,20.1,0.0196,moderate,industrial
