Fe,C,Si,Mn,Cr,Ni,Mo,V,tensile_strength_MPa,fatigue_limit_MPa,fatigue_ratio,basquin_exponent,cycles_to_failure_1e6,test_type,R_ratio
83.4,0.481,1.43,1.54,10.78,1.87,0.47,0.029,1427.7,751.9,0.527,-0.1138,6.07,axial,0.0
85.52,0.294,0.35,0.61,5.48,6.3,1.3,0.146,1129.5,566.8,0.502,-0.1066,6.58,torsion,0.0
71.71,0.154,0.97,0.95,17.7,5.6,2.58,0.34,1404.3,864.5,0.616,-0.0812,8.0,axial,-1.0
76.59,0.068,0.42,0.71,12.3,7.32,2.5,0.087,1127.4,582.8,0.517,-0.1041,6.96,axial,0.0
67.85,0.648,0.87,0.61,17.45,9.3,2.82,0.447,1998.3,1023.9,0.512,-0.1032,7.32,rotating_bending,0.0
77.86,0.424,0.64,0.76,14.92,4.28,0.84,0.271,1457.4,711.9,0.488,-0.0669,8.0,rotating_bending,-1.0
84.63,1.185,1.18,0.64,0.1,9.79,2.12,0.365,2051.3,1059.1,0.516,-0.0776,8.0,axial,-1.0
74.81,0.123,0.54,0.85,13.13,7.65,2.66,0.236,1244.2,613.2,0.493,-0.0722,8.0,rotating_bending,-1.0
82.32,0.695,1.18,1.14,9.41,5.13,0.08,0.054,1609.7,762.8,0.474,-0.0845,8.0,axial,-1.0
91.41,0.337,0.67,1.58,4.12,0.92,0.87,0.081,1033.1,541.2,0.524,-0.0665,8.0,rotating_bending,-1.0
71.7,1.052,1.23,0.62,16.07,6.47,2.42,0.448,2284.3,1189.4,0.521,-0.0894,8.0,rotating_bending,-1.0
80.09,0.4,0.33,1.21,8.73,8.31,0.81,0.122,1311.5,606.5,0.462,-0.1019,7.34,rotating_bending,-1.0
76.68,0.125,0.46,0.72,12.53,8.55,0.44,0.499,1152.1,580.3,0.504,-0.0769,8.0,axial,0.0
84.5,0.661,0.73,1.24,10.67,0.97,1.11,0.121,1536.4,837.5,0.545,-0.0868,7.95,axial,0.0
85.26,0.509,1.24,1.66,2.71,6.1,2.09,0.429,1412.0,725.3,0.514,-0.0664,8.0,torsion,-1.0
89.25,0.845,0.64,1.89,2.48,4.09,0.34,0.462,1580.2,812.9,0.514,-0.0995,6.83,axial,-1.0
70.08,0.644,0.47,1.99,17.38,6.7,2.65,0.094,1911.5,1140.9,0.597,-0.0636,8.0,axial,-1.0
74.89,0.788,0.22,0.57,16.17,7.28,0.03,0.051,1758.5,955.3,0.543,-0.1147,6.06,axial,0.0
91.72,0.608,0.73,1.99,3.17,0.22,1.48,0.089,1369.5,689.0,0.503,-0.0965,7.2,torsion,0.1
71.07,0.782,0.45,1.3,17.62,5.84,2.72,0.217,1976.2,1067.2,0.54,-0.0763,8.0,torsion,-1.0
88.65,0.275,1.11,0.78,0.44,7.75,0.53,0.47,1061.9,547.7,0.516,-0.0572,8.0,rotating_bending,0.1
83.66,0.402,0.37,0.76,8.74,4.47,1.18,0.422,1308.4,730.3,0.558,-0.1108,6.06,axial,0.1
70.21,1.189,0.3,1.18,15.79,8.89,2.09,0.351,2343.4,1371.9,0.585,-0.0664,8.0,rotating_bending,-1.0
92.82,0.144,0.11,1.37,3.5,0.85,1.19,0.025,748.1,387.5,0.518,-0.1133,5.95,axial,0.0
80.03,0.554,1.04,0.86,2.79,11.78,2.52,0.43,1586.2,754.7,0.476,-0.0653,8.0,rotating_bending,0.1
78.43,0.148,0.17,1.2,9.73,7.65,2.18,0.488,1120.8,589.9,0.526,-0.0956,7.47,rotating_bending,0.1
91.67,0.549,1.14,0.73,3.32,0.97,1.28,0.344,1253.2,552.1,0.441,-0.104,7.25,rotating_bending,-1.0
79.95,0.784,0.82,1.42,7.84,8.76,0.14,0.283,1725.1,785.9,0.456,-0.1078,6.93,rotating_bending,0.0
78.61,0.156,0.23,0.83,17.63,2.1,0.05,0.382,1126.7,601.8,0.534,-0.076,8.0,axial,0.0
83.52,1.142,1.34,0.74,0.28,11.2,1.5,0.27,2076.7,1017.8,0.49,-0.078,8.0,torsion,0.0
79.93,0.08,0.92,1.9,10.36,4.66,1.93,0.229,1145.2,579.4,0.506,-0.0573,8.0,axial,0.1
95.51,0.275,0.2,0.47,0.33,1.13,2.05,0.036,853.4,385.6,0.452,-0.0643,8.0,axial,0.0
74.93,0.987,0.49,0.5,12.54,7.55,2.63,0.368,2077.4,1038.3,0.5,-0.07,8.0,torsion,-1.0
75.44,0.891,0.28,0.73,10.45,10.41,1.69,0.119,1942.5,1040.1,0.535,-0.0706,8.0,torsion,-1.0
86.61,0.484,0.85,1.14,7.01,3.57,0.3,0.027,1291.7,650.9,0.504,-0.086,8.0,axial,0.1
82.55,0.146,0.23,1.32,9.97,2.55,2.84,0.391,1106.9,535.4,0.484,-0.0591,8.0,axial,0.1
75.53,1.195,0.18,1.55,9.83,8.47,2.91,0.344,2279.6,1294.4,0.568,-0.0894,7.67,axial,-1.0
