Fe,C,Si,Mn,Cr,Ni,Mo,V,W,Cu,CE_IIW,Pcm,Ac1_C,Ac3_C,Ms_C,treatment_type,cooling_medium,hardness_HRC,hardenability_mm,weldability
84.01,0.724,1.02,0.47,4.01,5.92,2.27,0.599,0.55,0.43,2.601,1.313,723.0,827.0,48.0,annealing,furnace,23.7,135.9,poor
75.41,1.097,1.42,0.82,13.16,2.0,1.77,0.368,3.76,0.19,4.44,2.041,972.0,825.0,-158.0,tempering,air,57.2,162.0,poor
87.71,0.88,1.38,1.34,4.47,2.11,1.01,0.312,0.39,0.4,2.43,1.371,795.0,813.0,27.0,tempering,air,31.8,97.0,poor
90.84,1.05,0.2,1.85,4.07,0.46,0.71,0.586,0.24,0.0,2.462,1.466,776.0,787.0,-24.0,quenching,oil,68.0,88.1,poor
88.22,0.599,1.7,0.74,4.21,0.62,1.62,0.366,1.7,0.23,2.017,1.069,840.0,909.0,189.0,normalizing,air,31.0,96.4,poor
74.83,0.189,1.8,1.93,12.86,3.5,1.02,0.463,3.19,0.22,3.627,1.172,937.0,929.0,175.0,normalizing,air,17.1,137.0,poor
82.15,1.0,1.61,1.66,0.25,6.03,2.56,0.605,3.76,0.39,2.386,1.5,682.0,831.0,-63.0,quenching,air,64.3,143.7,poor
78.82,0.683,0.16,0.33,14.08,2.7,1.13,0.47,1.33,0.3,4.075,1.591,929.0,793.0,13.0,normalizing,air,30.4,137.2,poor
79.54,0.433,1.7,1.63,8.71,2.02,2.58,0.03,2.96,0.39,3.13,1.235,891.0,906.0,146.0,annealing,furnace,18.7,159.1,poor
92.81,0.895,0.97,0.67,1.86,1.09,0.06,0.553,0.66,0.43,1.604,1.153,765.0,804.0,98.0,quenching,water,68.0,45.2,poor
78.2,0.645,0.95,0.89,9.57,4.86,1.03,0.343,3.22,0.28,3.326,1.398,845.0,784.0,29.0,annealing,furnace,22.7,125.0,poor
77.69,0.194,0.97,0.89,9.0,7.38,1.93,0.578,1.23,0.13,3.145,1.037,781.0,873.0,176.0,normalizing,air,21.5,150.2,poor
81.15,0.854,1.52,0.89,6.98,4.72,0.22,0.711,2.63,0.31,2.92,1.479,817.0,800.0,-19.0,quenching,water,66.7,91.4,poor
77.09,0.886,0.6,0.68,12.39,3.12,1.73,0.552,2.93,0.03,4.143,1.784,912.0,810.0,-75.0,annealing,furnace,26.4,155.7,poor
87.23,0.644,1.94,0.6,4.74,0.93,0.74,0.673,2.43,0.08,2.041,1.112,857.0,913.0,169.0,quenching,water,67.2,73.5,poor
75.91,0.115,0.2,1.04,8.9,7.09,2.95,0.98,2.79,0.02,3.328,1.032,770.0,937.0,203.0,tempering,air,23.3,179.0,poor
78.19,0.149,1.58,0.64,11.39,5.0,1.02,0.724,1.18,0.11,3.224,1.032,882.0,934.0,223.0,quenching,air,42.3,122.0,poor
73.55,0.561,0.12,0.56,13.99,6.36,0.71,0.718,3.34,0.09,4.168,1.522,875.0,763.0,-3.0,annealing,furnace,20.3,138.5,poor
76.52,0.595,1.67,1.86,9.22,2.39,2.04,0.431,4.87,0.41,3.43,1.444,902.0,901.0,61.0,quenching,water,68.0,152.4,poor
77.11,1.015,0.15,0.51,12.58,1.75,2.52,0.236,3.85,0.27,4.302,1.909,933.0,790.0,-108.0,tempering,air,35.7,176.0,poor
72.88,1.047,0.29,0.51,13.65,6.75,1.38,0.43,2.76,0.3,4.693,2.027,864.0,701.0,-214.0,tempering,air,63.8,167.7,poor
76.14,1.111,1.63,1.06,7.93,4.96,1.74,0.968,4.43,0.02,3.747,1.911,842.0,849.0,-160.0,annealing,furnace,30.4,149.5,poor
81.29,0.347,0.34,1.87,10.5,1.35,2.85,0.216,1.18,0.07,3.466,1.214,879.0,897.0,163.0,tempering,air,47.0,174.0,poor
85.82,0.902,0.57,0.81,3.6,1.95,2.35,0.948,2.98,0.08,2.551,1.429,782.0,885.0,37.0,tempering,air,41.6,127.3,poor
86.58,0.946,0.46,1.14,5.96,1.65,0.74,0.238,2.09,0.2,2.645,1.426,814.0,756.0,-2.0,normalizing,air,37.1,93.8,poor
79.6,1.167,0.82,1.87,10.29,0.59,2.8,0.168,2.24,0.46,4.199,2.038,909.0,824.0,-167.0,annealing,furnace,32.9,184.8,poor
73.97,0.762,1.6,1.97,13.63,4.75,2.68,0.153,0.22,0.27,4.718,1.882,904.0,833.0,-113.0,quenching,water,64.6,207.6,poor
89.7,0.836,0.18,1.1,3.56,0.39,0.75,0.722,2.76,0.01,2.052,1.204,791.0,825.0,96.0,annealing,furnace,31.2,74.6,poor
79.07,0.435,1.46,0.48,9.3,4.46,0.45,0.625,3.46,0.25,2.905,1.152,868.0,853.0,146.0,annealing,furnace,18.8,96.4,poor
79.34,0.561,1.21,1.22,8.73,6.88,0.6,0.684,0.54,0.23,3.242,1.334,784.0,797.0,32.0,normalizing,air,32.0,117.6,poor
79.53,0.501,1.16,1.03,6.51,3.92,2.96,0.557,3.62,0.21,2.954,1.245,816.0,910.0,125.0,quenching,water,64.5,162.5,poor
73.52,0.384,0.58,1.16,13.12,7.05,2.23,0.542,1.17,0.24,4.242,1.45,842.0,830.0,41.0,quenching,air,57.5,185.1,poor
84.68,0.978,0.86,1.45,2.54,5.89,2.36,0.09,0.92,0.23,2.625,1.482,686.0,742.0,-71.0,annealing,furnace,35.7,146.1,poor
83.15,1.085,0.67,0.32,10.43,1.45,0.46,0.992,1.33,0.1,3.62,1.805,903.0,824.0,-85.0,normalizing,air,48.4,101.8,poor
89.25,0.635,0.63,1.06,0.14,4.78,0.22,0.145,3.13,0.01,1.232,0.825,676.0,726.0,150.0,quenching,air,67.8,54.8,poor
84.78,0.175,0.11,1.6,4.35,7.1,0.55,0.586,0.55,0.2,2.027,0.7,670.0,800.0,234.0,quenching,oil,45.5,91.3,poor
77.87,0.769,1.41,0.68,13.84,4.99,0.32,0.016,0.08,0.03,4.052,1.65,911.0,731.0,-65.0,tempering,air,30.3,125.9,poor
73.66,0.755,1.9,1.33,12.2,3.7,2.16,0.022,3.94,0.34,4.122,1.719,937.0,833.0,-50.0,annealing,furnace,26.4,173.9,poor
81.28,1.121,1.05,1.15,5.45,5.68,1.18,0.588,2.24,0.26,3.152,1.731,756.0,754.0,-146.0,normalizing,air,53.0,124.2,poor
