Fe,C,Si,Mn,Cr,Ni,Mo,P,S,test_temperature_C,impact_energy_J,KCV_J_cm2,transition_temp_C,ductile_fraction_percent,specimen_type
94.01,0.544,0.98,0.49,2.31,0.9,0.75,0.0085,0.011,-40,4.7,5.9,94.1,0.0,Charpy_V
92.14,0.766,0.64,1.83,1.23,2.8,0.54,0.0347,0.0101,-40,12.0,15.0,139.6,0.0,Charpy_V
87.95,0.509,0.3,1.39,4.86,4.73,0.23,0.0101,0.019,20,4.0,5.0,55.4,8.6,Charpy_V
88.36,0.698,0.33,1.27,4.22,4.6,0.49,0.0242,0.0051,-20,4.8,6.0,98.1,0.0,Charpy_V
90.45,0.298,0.65,0.68,3.44,3.97,0.45,0.0313,0.0264,0,4.0,5.0,122.4,0.0,Charpy_V
92.51,0.588,0.19,0.54,0.8,4.64,0.68,0.0247,0.0189,20,4.0,5.0,91.4,0.9,Charpy_V
93.18,0.717,0.54,1.22,1.4,2.71,0.17,0.0274,0.0256,0,4.0,5.0,120.3,0.0,Charpy_V
90.12,0.657,0.22,0.47,4.08,3.98,0.45,0.0083,0.0179,-20,4.0,5.0,49.1,1.0,Charpy_V
88.93,0.434,0.15,1.28,4.5,3.9,0.79,0.0098,0.014,20,4.6,5.8,48.6,12.9,Charpy_V
96.1,0.778,0.68,0.56,1.34,0.32,0.18,0.0196,0.0136,-40,4.0,5.0,121.8,0.0,Charpy_V
91.29,0.798,0.75,0.33,1.13,4.86,0.81,0.022,0.0109,0,4.0,5.0,112.3,0.1,Charpy_V
93.62,0.112,0.86,0.51,2.42,1.91,0.51,0.0316,0.0297,-20,4.0,5.0,134.7,0.0,Charpy_V
89.08,0.345,0.84,0.86,3.25,4.96,0.65,0.0083,0.0261,100,28.2,35.2,69.0,88.8,Charpy_V
89.08,0.627,0.34,1.54,4.19,3.92,0.27,0.017,0.0153,-20,4.0,5.0,81.9,0.1,Charpy_V
90.84,0.176,0.51,1.17,2.66,4.1,0.52,0.0119,0.0216,-40,4.0,5.0,65.7,0.1,Charpy_V
94.88,0.543,0.98,1.56,0.34,0.84,0.82,0.015,0.0226,-40,6.5,8.1,115.5,0.0,Charpy_V
94.65,0.417,0.61,1.01,0.36,2.11,0.79,0.0291,0.0273,-40,4.0,5.0,124.6,0.0,Charpy_V
87.46,0.577,0.76,1.42,4.98,4.34,0.42,0.0148,0.0199,-40,4.0,5.0,92.6,0.0,Charpy_V
89.58,0.407,0.76,0.33,4.63,3.87,0.39,0.0165,0.0076,100,4.0,5.0,96.0,56.6,Charpy_V
92.9,0.664,0.26,0.4,4.74,0.02,0.98,0.0269,0.0132,-20,4.0,5.0,123.7,0.0,Charpy_V
95.63,0.234,0.79,1.67,1.25,0.21,0.2,0.011,0.0066,-40,7.1,8.9,94.8,0.0,Charpy_V
90.44,0.239,0.51,1.39,4.39,2.62,0.37,0.031,0.0128,-40,4.0,5.0,118.7,0.0,Charpy_V
91.6,0.384,0.81,0.35,2.93,2.97,0.93,0.0136,0.012,0,8.1,10.1,91.9,0.2,Charpy_V
95.48,0.379,0.17,1.36,0.26,1.91,0.39,0.035,0.0125,100,9.3,11.6,117.1,24.2,Charpy_V
89.26,0.408,0.81,1.88,3.66,3.88,0.07,0.0111,0.0294,100,14.6,18.3,81.7,77.2,Charpy_V
90.21,0.1,0.9,1.81,1.61,4.57,0.76,0.017,0.0133,-20,14.2,17.8,94.4,0.0,Charpy_V
91.42,0.584,0.44,1.39,2.86,2.62,0.64,0.0211,0.0214,20,4.0,5.0,100.3,0.5,Charpy_V
91.93,0.103,0.4,1.39,2.63,2.71,0.79,0.0108,0.0296,-40,4.0,5.0,59.5,0.1,Charpy_V
91.63,0.762,0.44,1.32,2.25,3.38,0.18,0.017,0.0067,-20,4.0,5.0,90.0,0.1,Charpy_V
94.33,0.207,0.69,1.17,1.16,2.01,0.37,0.0346,0.0263,0,4.0,5.0,135.3,0.0,Charpy_V
91.96,0.655,0.82,1.65,2.84,1.63,0.41,0.0145,0.0195,0,4.0,5.0,104.6,0.1,Charpy_V
91.81,0.753,0.92,0.73,2.01,3.22,0.52,0.0079,0.0298,-40,4.0,5.0,82.2,0.0,Charpy_V
91.73,0.06,0.43,0.74,2.84,3.16,1.0,0.0204,0.0188,20,4.0,5.0,84.9,1.3,Charpy_V
97.28,0.099,0.55,1.32,0.03,0.48,0.21,0.0154,0.0185,0,10.3,12.9,91.4,0.2,Charpy_V
90.41,0.257,0.88,0.55,2.48,4.76,0.63,0.0265,0.0158,0,4.0,5.0,119.9,0.0,Charpy_V
